Config,MRR@5,Recall@5,nDCG@5,Avg Latency (s),P95 Latency (s),Total Time (s),split
Dense+Meta,0.2875,0.04981370249043279,0.24060877061907923,0.09515593051910401,0.12396516799926757,3.80623722076416,easy
Dense,0.2875,0.04981370249043279,0.23964939499096757,0.11573749184608459,0.09356725215911865,4.629499673843384,easy
BM25+Meta,0.26749999999999996,0.05259148026821057,0.23701817168177947,0.030559635162353514,0.04687204360961914,1.2223854064941406,easy
BM25,0.26749999999999996,0.05259148026821057,0.2360587960536678,0.022868841886520386,0.03341912031173694,0.9147536754608154,easy
Hybrid+Title,0.26666666666666666,0.07012535359928607,0.19891530347198166,0.0638797104358673,0.07791148424148558,2.5551884174346924,hard
Hybrid+WeightedExpansion(0.3),0.26666666666666666,0.07012535359928607,0.19891530347198166,0.15074459314346314,0.26304628849029543,6.029783725738525,hard
Dense+Title,0.26666666666666666,0.07012535359928607,0.19891530347198166,0.0614238977432251,0.07417728900909423,2.456955909729004,hard
Hybrid+Meta+Title,0.26666666666666666,0.07012535359928607,0.19891530347198166,0.09930974245071411,0.1280975818634033,3.9723896980285645,hard
Dense+Meta+Title,0.26666666666666666,0.07012535359928607,0.19891530347198166,0.10004080533981323,0.12790682315826407,4.001632213592529,hard
BM25+Title,0.2645833333333333,0.07012535359928607,0.19832750965212914,0.00416519045829773,0.012469899654388425,0.16660761833190918,hard
BM25+Meta+Title,0.2645833333333333,0.07012535359928607,0.19832750965212914,0.029983699321746826,0.046841979026794434,1.199347972869873,hard
Hybrid+Meta+Title+Expansion,0.25416666666666665,0.07012535359928607,0.19578595495850445,0.11599495410919189,0.16711779832839965,4.639798164367676,hard
Hybrid+WeightedExpansion(0.5),0.25416666666666665,0.07012535359928607,0.19578595495850445,0.11895865797996522,0.14871267080307005,4.758346319198608,hard
Hybrid+Meta+Title+Length,0.23833333333333334,0.05457032215274519,0.17134829125393233,0.13124407529830934,0.16466245651245115,5.249763011932373,hard
Hybrid,0.2270833333333333,0.06118188507674606,0.16524119285382272,0.06175289154052734,0.0787738561630249,2.4701156616210938,hard
Hybrid+Meta,0.2270833333333333,0.06118188507674606,0.16524119285382272,0.09659083485603333,0.11361560821533202,3.863633394241333,hard
Dense+Meta,0.2270833333333333,0.06118188507674606,0.16524119285382272,0.09515593051910401,0.12396516799926757,3.80623722076416,hard
Dense,0.2270833333333333,0.06118188507674606,0.16524119285382272,0.11573749184608459,0.09356725215911865,4.629499673843384,hard
BM25+Meta,0.22583333333333333,0.06118188507674606,0.1648696110455636,0.030559635162353514,0.04687204360961914,1.2223854064941406,hard
BM25,0.22583333333333333,0.06118188507674606,0.1648696110455636,0.022868841886520386,0.03341912031173694,0.9147536754608154,hard
Hybrid+Meta+Title+Cross,0.19583333333333333,0.031220896944829418,0.1347742588470371,9.301380449533463,12.062703788280485,372.05821681022644,hard
Hybrid+Meta+Title+Expansion+Cross,0.18958333333333333,0.031220896944829418,0.1321169353466299,8.761405038833619,11.335706019401547,350.4562015533447,hard
Full,0.1875,0.027851849325781795,0.12957538065300525,9.732343739271164,13.60570546388626,389.29374957084656,hard
