Config,MRR@5,Recall@5,nDCG@5,Avg Latency (s),P95 Latency (s),Total Time (s),split
Hybrid+WeightedExpansion(0.5),0.25416666666666665,0.07012535359928607,0.19578595495850445,0.1583971858024597,0.18490999937057495,6.335887432098389,hard
Hybrid+Meta+Title+Expansion+Cross,0.23833333333333334,0.04784276608308386,0.17439394708055306,9.704596138000488,12.192834150791168,388.18384552001953,hard
Hybrid+Meta+Title+Cross,0.23833333333333334,0.04159276608308386,0.1663519573442339,8.068015217781067,10.013305282592773,322.7206087112427,hard
Hybrid+Meta+Title+Length,0.23833333333333334,0.05457032215274519,0.17134829125393233,0.11342593431472778,0.14076102972030638,4.537037372589111,hard
Hybrid,0.2270833333333333,0.06118188507674606,0.16524119285382272,0.08523900508880615,0.12236131429672241,3.409560203552246,hard
Hybrid+Meta,0.2270833333333333,0.06118188507674606,0.16524119285382272,0.1411825478076935,0.1877982854843139,5.647301912307739,hard
Dense+Meta,0.2270833333333333,0.06118188507674606,0.16524119285382272,0.1522955060005188,0.34078614711761457,6.091820240020752,hard
Dense,0.2270833333333333,0.06118188507674606,0.16524119285382272,0.07428784370422363,0.09792748689651487,2.9715137481689453,hard
BM25+Meta,0.22583333333333333,0.06118188507674606,0.1648696110455636,0.03533164858818054,0.04732468128204344,1.4132659435272217,hard
BM25,0.22583333333333333,0.06118188507674606,0.1648696110455636,0.0024928510189056396,0.01566317081451416,0.09971404075622559,hard
Full,0.175,0.03236496902633943,0.12715171378577117,8.792506492137909,12.342458522319792,351.70025968551636,hard
